author,date,quote,id
Serge,2018-08-13,"""""""THAT WAS MY FIRST FALL!""""""",1
Serge,2018-08-13,"""""""I keep stepping on teeth.""""""",2
Serge,2018-08-15,"""""""The answer is 13! 13 is the... NO. NO! NOOOO...""""""",3
Serge,2018-08-17,"""""""The one hole makes me so nervous.""""""",4
Serge,2018-08-17,"""""""I heard someone was wrong on your channel, Serge.""""""",5
Serge,2018-08-17,"""""""'Sadness' because it is forced to live 60 blocks below the surface... eeee.""""""",6
Serge,2018-08-20,"""""""How much death has Jo caused?""""""",7
Serge,2018-08-22,"""""""Squid farm is back on the menu.""""""",8
Serge,2018-08-22,"""""""That's why they call me Serge 'Instantmininglover' Yager.""""""",9
Serge,2018-08-22,"""""""Well when you say it like that I sound like a monster.""""""",10
Serge,2018-08-23,"""""""I hate how stunning this looks.""""""",11
Ben,2018-08-24,"""""""You're fine, just jump.""""""",12
Paul,2018-08-24,"""""""Serge, demonstrating 'Poker Face' on Friday Night Paper Fight.""""""",13
Serge,2018-08-28,"""""""The Builder's Wand MIGHT be really amazing. Might. Be. Maybe. Really cool. Maybe.""""""",14
Serge,2018-08-28,"""""""'Living rock brick slabs' was a sentence that was just uttered.""""""",15
Serge,2018-08-30,"""""""Where are you going, Chicken Lord James?""""""",16
Serge,2018-08-29,"""""""Who are we to argue with the cats? And by the cats, I mean the mods.""""""",17
Serge,2018-09-05,"""""""Sass as a service? Kind of hate it.""""""",18
Serge,2018-09-05,"""""""I'm so proud of me.""""""",19
Serge,2018-09-05,"""""""At the end of the day, whatever my mods want.""""""",20
Serge,2018-09-05,"""""""Uno will FOREVER be a Buttermod.""""""",21
Serge,2018-09-05,"""""""Mods don't get pants.""""""",22
Serge,2018-09-06,"""""""It's the new hotness.""""""",23
Serge,2018-09-06,"""""""Hello everybody, welcome to the giant new Sadness Orb, complete with bleating sheep.""""""",24
Serge,2018-09-06,"""""""There's too much teeth.""""""",25
Serge,2018-09-10,"""""""Coffee has enemies.""""""",26
James,2018-09-10,"""""""Silk touch, nerd.""""""",27
Serge,2018-09-10,"""""""Back to the sheep mines! ...is a sentence I just said.""""""",28
Serge,2018-09-10,"""""""Sheep are transparent.""""""",29
Serge,2018-09-11,"""""""Just look at our happy little tree friend! Uh-oh. That was a little TOO Bob Ross...""""""",30
Serge,2018-09-11,"""""""Oh a drowned! Hello little buddy; goodbye little buddy.""""""",31
Serge,2018-09-11,"""""""I'm regular mining, like a peasant!""""""",32
Serge,2018-09-11,"""""""I just slept so I shouldn't die.""""""",33
Serge,2018-09-11,"""""""Oh the SEA. Why can't I quit you?""""""",34
Serge,2018-09-12,"""""""Look no further than our one-of-a-kind water features, of which we have two.""""""",35
Serge,2018-09-12,"""""""Our sheep need to know they're VIPs when they get here.""""""",36
"""Serge, wrecking all our dreams""",2018-09-12,"""""""We don't need to line the entire tunnel with CAKE!""""""",37
Serge,2018-09-12,"""""""Do you wish your LEGO toy could fight you? Boy, do I have a game for you!""""""",38
Serge,2018-09-12,"""""""If it doesn't look good what's the point?""""""",39
Serge,2018-09-13,"""""""Quad chicken? No.""""""",40
Serge,2018-09-14,"""""""Mine looks like a super weiner.""""""",41
Serge,2018-09-14,"""""""It's better this way. Go Ben. Go to the light.""""""",42
Serge,2018-09-17,"""""""I do love flooding... steps.""""""",43
Serge,2018-09-17,"""""""Classic chat, blaming me for my own mistakes.""""""",44
Serge,2018-09-17,"""""""I'm nailing these jumps like some kind of pro, now.""""""",45
Serge,2018-09-18,"""""""OH NO. Instant mining, WHY!?""""""",46
Serge,2018-09-18,"""""""Nothing fills me with more joy than slabbing the Nether.""""""",47
Serge,2018-09-18,"""""""I find myself, for the second time, wishing I had a Builder's Wand. Shhh! Nobody tell Serifina...""""""",48
Serge,2018-09-18,"""""""Look at my precious, little, stubby son.""""""",49
Serge,2018-09-18,"""""""All is well!""""""",50
Serge,2018-09-18,"""""""That's a death trap, I love it!""""""",51
Serge,2018-09-18,"""""""Ah! I'm in the fire! I fell in the fire!""""""",52
Serge,2018-09-18,"""""""I am The Squeaksman.""""""",53
Serge,2018-09-18,"""""""Wait. No. Nooo! Ah, phantoms, why!? Why did the stream have to end this way!?""""""",54
Serge,2018-09-21,"""""""He's trying to lick us! He's trying to lick us!""""""",55
Serge,2018-09-21,"""""""Help me! There is a very angry cat! Ben! I'm being licked! I'm being aggressively licked!""""""",56
Serge,2018-09-21,"""""""Oh my god! You killed me with a boat!""""""",57
Serge,2018-09-21,"""""""We need to test out that new mechanic, give me the D!""""""",58
Ben,2018-09-21,"""""""Toast! Oh no! We can't beat them! They were bread for this!""""""",59
Serge,2018-09-21,"""""""No, why'd it have to be teeth? Anything but teeth!""""""",60
Serge,2018-09-21,"""""""Jus' say 'no' ta laza-bois.""""""",61
Ben,2018-09-21,"""""""Time to get into the cat's mouth!""""""",62
Serge,2018-09-21,"""""""I am the Spider-Frenchman! Fear me!""""""",63
Serge,2018-09-24,"""""""Once all this thinkin' stuff is done, I'm sure it'll be a lot quicker.""""""",64
Serge,2018-09-24,"""""""Why are you still angry?! I paid for my sins!""""""",65
Serge,2018-09-24,"""""""Chat we may have to give up on the memes.""""""",66
Serge,2018-09-24,"""""""What bear?""""""",67
Serge,2018-09-24,"""""""That was a butt call.""""""",68
Serge,2018-09-24,"""""""Memes are dead.""""""",69
Jo,2018-09-24,"""""""Jo, did you bring this Polar Bear in here? -Serge, """"Maybe.""""""",70
Serge,2018-09-24,"""""""That's a *lot* of laser-moths.""""""",71
Serge,2018-09-24,"""""""I want to be able to see them die.""""""",72
Serge,2018-09-24,"""""""The only way to go into the Danger Room is, of course, to take off everything.""""""",73
Serge,2018-09-24,"""""""I believe in your ability to kidnap bears.""""""",74
Serge,2018-09-24,"""""""Jo has come to fill me full of fish.""""""",75
JoeKim,2018-09-24,"""""""Hashtag blame James.""""""",76
